ID,Response
50883,0
50884,0
50885,0
50886,0
50887,0
50888,0
50889,1
50890,1
50891,1
50892,1
50893,0
50894,0
50895,1
50896,0
50897,0
50898,0
50899,0
50900,0
50901,1
50902,0
50903,0
50904,0
50905,0
50906,0
50907,0
50908,0
50909,0
50910,0
50911,0
50912,0
50913,0
50914,0
50915,0
50916,0
50917,0
50918,1
50919,0
50920,1
50921,0
50922,1
50923,0
50924,0
50925,0
50926,0
50927,1
50928,0
50929,0
50930,0
50931,0
50932,0
50933,0
50934,0
50935,1
50936,0
50937,0
50938,0
50939,0
50940,0
50941,0
50942,0
50943,0
50944,0
50945,0
50946,1
50947,1
50948,0
50949,1
50950,0
50951,0
50952,1
50953,0
50954,0
50955,0
50956,0
50957,0
50958,0
50959,0
50960,0
50961,0
50962,0
50963,1
50964,1
50965,1
50966,1
50967,0
50968,0
50969,0
50970,1
50971,0
50972,0
50973,0
50974,0
50975,0
50976,0
50977,0
50978,0
50979,0
50980,1
50981,0
50982,0
50983,1
50984,1
50985,0
50986,0
50987,0
50988,0
50989,0
50990,0
50991,1
50992,0
50993,0
50994,0
50995,0
50996,0
50997,1
50998,0
50999,0
51000,0
51001,0
51002,0
51003,0
51004,0
51005,0
51006,0
51007,0
51008,0
51009,0
51010,0
51011,0
51012,0
51013,0
51014,0
51015,0
51016,0
51017,0
51018,0
51019,1
51020,1
51021,0
51022,0
51023,1
51024,0
51025,0
51026,0
51027,1
51028,0
51029,1
51030,0
51031,1
51032,0
51033,0
51034,0
51035,0
51036,0
51037,0
51038,0
51039,0
51040,0
51041,0
51042,0
51043,1
51044,0
51045,1
51046,0
51047,0
51048,0
51049,0
51050,0
51051,0
51052,0
51053,0
51054,0
51055,0
51056,0
51057,0
51058,0
51059,0
51060,1
51061,0
51062,0
51063,0
51064,0
51065,0
51066,0
51067,1
51068,1
51069,0
51070,1
51071,0
51072,0
51073,0
51074,0
51075,0
51076,0
51077,0
51078,1
51079,1
51080,0
51081,0
51082,0
51083,0
51084,0
51085,1
51086,1
51087,0
51088,0
51089,0
51090,1
51091,1
51092,0
51093,1
51094,0
51095,0
51096,0
51097,0
51098,0
51099,0
51100,0
51101,0
51102,0
51103,0
51104,0
51105,0
51106,0
51107,1
51108,0
51109,0
51110,0
51111,0
51112,0
51113,0
51114,0
51115,0
51116,0
51117,1
51118,0
51119,0
51120,0
51121,0
51122,0
51123,0
51124,0
51125,1
51126,0
51127,0
51128,1
51129,0
51130,0
51131,0
51132,0
51133,0
51134,0
51135,0
51136,0
51137,0
51138,0
51139,0
51140,0
51141,0
51142,0
51143,0
51144,0
51145,0
51146,0
51147,0
51148,1
51149,0
51150,0
51151,0
51152,0
51153,0
51154,0
51155,0
51156,0
51157,0
51158,0
51159,0
51160,1
51161,1
51162,0
51163,1
51164,0
51165,0
51166,0
51167,0
51168,1
51169,1
51170,0
51171,0
51172,0
51173,1
51174,0
51175,0
51176,0
51177,0
51178,0
51179,0
51180,0
51181,0
51182,0
51183,0
51184,1
51185,1
51186,0
51187,1
51188,0
51189,0
51190,0
51191,0
51192,1
51193,0
51194,0
51195,0
51196,1
51197,0
51198,1
51199,1
51200,0
51201,0
51202,0
51203,0
51204,0
51205,0
51206,0
51207,0
51208,0
51209,0
51210,0
51211,0
51212,0
51213,0
51214,1
51215,0
51216,0
51217,0
51218,0
51219,0
51220,0
51221,0
51222,0
51223,0
51224,0
51225,0
51226,1
51227,0
51228,0
51229,0
51230,1
51231,0
51232,0
51233,0
51234,1
51235,1
51236,0
51237,0
51238,1
51239,0
51240,0
51241,0
51242,0
51243,0
51244,0
51245,0
51246,1
51247,1
51248,0
51249,0
51250,0
51251,0
51252,1
51253,1
51254,0
51255,0
51256,0
51257,0
51258,0
51259,0
51260,1
51261,0
51262,0
51263,0
51264,0
51265,1
51266,0
51267,0
51268,0
51269,0
51270,0
51271,0
51272,0
51273,0
51274,0
51275,0
51276,0
51277,0
51278,1
51279,0
51280,0
51281,0
51282,0
51283,0
51284,0
51285,0
51286,1
51287,0
51288,0
51289,0
51290,0
51291,0
51292,0
51293,0
51294,0
51295,0
51296,0
51297,0
51298,0
51299,0
51300,0
51301,0
51302,1
51303,1
51304,1
51305,0
51306,0
51307,0
51308,0
51309,1
51310,0
51311,0
51312,1
51313,1
51314,0
51315,1
51316,0
51317,0
51318,0
51319,0
51320,0
51321,0
51322,0
51323,0
51324,0
51325,0
51326,0
51327,1
51328,0
51329,1
51330,0
51331,0
51332,1
51333,0
51334,0
51335,0
51336,0
51337,0
51338,0
51339,0
51340,0
51341,0
51342,0
51343,0
51344,1
51345,0
51346,0
51347,1
51348,0
51349,0
51350,0
51351,0
51352,0
51353,1
51354,0
51355,0
51356,0
51357,1
51358,0
51359,0
51360,0
51361,1
51362,0
51363,0
51364,0
51365,0
51366,0
51367,0
51368,0
51369,0
51370,0
51371,0
51372,0
51373,0
51374,0
51375,0
51376,0
51377,0
51378,0
51379,0
51380,1
51381,0
51382,0
51383,0
51384,0
51385,0
51386,0
51387,0
51388,0
51389,0
51390,0
51391,0
51392,1
51393,0
51394,0
51395,1
51396,0
51397,1
51398,0
51399,1
51400,0
51401,1
51402,0
51403,1
51404,1
51405,0
51406,0
51407,1
51408,0
51409,1
51410,0
51411,0
51412,0
51413,1
51414,0
51415,0
51416,1
51417,1
51418,0
51419,0
51420,0
51421,0
51422,0
51423,0
51424,1
51425,0
51426,0
51427,1
51428,0
51429,0
51430,1
51431,1
51432,0
51433,0
51434,0
51435,1
51436,0
51437,0
51438,1
51439,0
51440,0
51441,0
51442,0
51443,0
51444,0
51445,1
51446,1
51447,0
51448,1
51449,0
51450,0
51451,0
51452,0
51453,0
51454,0
51455,0
51456,0
51457,0
51458,0
51459,0
51460,0
51461,0
51462,0
51463,0
51464,0
51465,0
51466,0
51467,0
51468,0
51469,1
51470,0
51471,1
51472,0
51473,0
51474,1
51475,0
51476,1
51477,0
51478,0
51479,0
51480,1
51481,1
51482,1
51483,0
51484,0
51485,0
51486,0
51487,0
51488,1
51489,0
51490,0
51491,0
51492,1
51493,0
51494,0
51495,1
51496,0
51497,0
51498,0
51499,0
51500,0
51501,0
51502,0
51503,1
51504,0
51505,0
51506,1
51507,0
51508,0
51509,0
51510,0
51511,1
51512,0
51513,0
51514,1
51515,0
51516,1
51517,0
51518,0
51519,1
51520,0
51521,1
51522,0
51523,0
51524,0
51525,0
51526,0
51527,1
51528,0
51529,0
51530,0
51531,0
51532,0
51533,0
51534,0
51535,0
51536,0
51537,1
51538,0
51539,0
51540,0
51541,0
51542,0
51543,0
51544,0
51545,0
51546,0
51547,1
51548,1
51549,1
51550,1
51551,0
51552,0
51553,0
51554,1
51555,0
51556,0
51557,0
51558,0
51559,1
